bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20190218,069500,28975,29140,28915,29040,5345033,155112652715,코스피 200
20190219,069500,28985,29050,28740,28905,4830085,139768382635,코스피 200
20190220,069500,29100,29350,29030,29240,6575502,192065677830,코스피 200
20190221,069500,29140,29355,29020,29240,4907357,143423001715,코스피 200
20190222,069500,29185,29255,29090,29255,2547987,74454821180,코스피 200
20190225,069500,29420,29465,29205,29315,4394336,128882092040,코스피 200
20190226,069500,29300,29335,29145,29205,7310201,213857040785,코스피 200
20190227,069500,29305,29370,29240,29300,3559451,104344748845,코스피 200
20190228,069500,29255,29300,28805,28805,5775812,167684183310,코스피 200
20190304,069500,29005,29115,28660,28665,5274617,151863259695,코스피 200
20190305,069500,28575,28605,28375,28465,5065539,144337391270,코스피 200
20190306,069500,28445,28445,28320,28385,5030208,142830336990,코스피 200
20190307,069500,28365,28520,28195,28300,8674668,245831510855,코스피 200
20190308,069500,28170,28215,27915,27915,7407646,207259443480,코스피 200
20190311,069500,27950,28030,27835,27935,16804742,469838908065,코스피 200
20190312,069500,28130,28280,28130,28220,9314969,262959642910,코스피 200
20190313,069500,28135,28140,27820,28015,11654412,326617711130,코스피 200
20190314,069500,28105,28195,27925,28090,4836271,135736718250,코스피 200
20190315,069500,28060,28515,28055,28415,5887227,167101623950,코스피 200
20190318,069500,28475,28525,28370,28440,10926530,310842345375,코스피 200
20190319,069500,28470,28495,28315,28410,5572357,158400033330,코스피 200
20190320,069500,28335,28450,28085,28445,11068231,314140815560,코스피 200
20190321,069500,28500,28885,28500,28640,11828435,339582282980,코스피 200
20190322,069500,28785,28865,28650,28705,8864604,254964895535,코스피 200
20190325,069500,28330,28375,28150,28150,4562668,128816953625,코스피 200
20190326,069500,28210,28265,28135,28170,6283031,177242827740,코스피 200
20190327,069500,28110,28260,27930,28165,5613520,157944024540,코스피 200
20190328,069500,28000,28120,27885,28010,4632054,129758136495,코스피 200
20190329,069500,28030,28190,27960,28175,6943174,195176413510,코스피 200
20190401,069500,28315,28585,28315,28550,4992395,142460680730,코스피 200
20190402,069500,28610,28735,28600,28660,5714180,163835053465,코스피 200
20190403,069500,28690,29080,28625,29080,4978315,144218968375,코스피 200
20190404,069500,29075,29295,29030,29110,7539387,219601256115,코스피 200
20190405,069500,29115,29255,29095,29165,4884354,142503605920,코스피 200
20190408,069500,29270,29290,29015,29095,7060006,205685388165,코스피 200
20190409,069500,29130,29300,29035,29145,6079520,177268896430,코스피 200
20190410,069500,29040,29300,29025,29295,6693837,195650890895,코스피 200
20190411,069500,29330,29365,29125,29230,5394032,157724316455,코스피 200
20190412,069500,29205,29360,29075,29300,6770661,198369508545,코스피 200
20190415,069500,29390,29570,29390,29420,8161032,240427202015,코스피 200
20190416,069500,29375,29555,29375,29535,4489986,132527995540,코스피 200
20190417,069500,29550,29600,29480,29515,14532039,429167948869,코스피 200
20190418,069500,29540,29575,29005,29045,6103943,178171343560,코스피 200
20190419,069500,29155,29220,29045,29050,4435188,129099494555,코스피 200
20190422,069500,29060,29230,28930,29055,4210414,122394148965,코스피 200
20190423,069500,29050,29165,29000,29105,9322393,271394511835,코스피 200
20190424,069500,29220,29245,28660,28790,6881915,198512499865,코스피 200
20190425,069500,28755,28885,28675,28745,2042104,58747798375,코스피 200
20190426,069500,28610,28690,28435,28575,2998903,85628074010,코스피 200
20190429,069500,28220,28675,28165,28675,3895679,111287838325,코스피 200
20190430,069500,28675,28675,28260,28495,11613149,331388299405,코스피 200
20190502,069500,28390,28700,28310,28620,3140273,89914779190,코스피 200
20190503,069500,28600,28600,28315,28365,4037490,114732258810,코스피 200
20190507,069500,28115,28165,27870,28140,6031804,169585343735,코스피 200
20190508,069500,27775,28175,27765,28010,4741858,132939072208,코스피 200
20190509,069500,27890,27935,27155,27190,9782530,267471765840,코스피 200
20190510,069500,27320,27445,26980,27240,9996751,272345634080,코스피 200
20190513,069500,27030,27155,26870,26920,6223755,167756052775,코스피 200
20190514,069500,26625,27060,26600,26870,12781784,343358130990,코스피 200
20190515,069500,26960,27090,26750,26995,7750119,208971916445,코스피 200
20190516,069500,26955,26995,26555,26615,11600662,309725011157,코스피 200
20190517,069500,26740,26815,26400,26440,5768782,153353608255,코스피 200
20190520,069500,26530,26770,26455,26510,4094300,108901710375,코스피 200
20190521,069500,26510,26860,26480,26640,8480753,226188212185,코스피 200
20190522,069500,26710,26770,26400,26700,5413542,144147690495,코스피 200
20190523,069500,26700,26720,26465,26665,4373607,116443512020,코스피 200
20190524,069500,26560,26645,26335,26470,4826996,127796347560,코스피 200
20190527,069500,26440,26605,26345,26490,3887861,102926801745,코스피 200
20190528,069500,26480,26620,26365,26530,4754081,126007237320,코스피 200
20190529,069500,26445,26455,26050,26170,5625674,147303038405,코스피 200
20190530,069500,26230,26430,26205,26410,5799380,152952126860,코스피 200
20190531,069500,26360,26525,26190,26365,8648499,228271398845,코스피 200
20190603,069500,26320,26830,26245,26800,4429349,118269516770,코스피 200
20190604,069500,26780,26845,26685,26750,6590143,176501748345,코스피 200
20190605,069500,27000,27060,26745,26780,5149198,138303109750,코스피 200
20190607,069500,26780,26995,26615,26790,3812529,102209458555,코스피 200
20190610,069500,26930,27240,26865,27180,4268408,115824126200,코스피 200
20190611,069500,27130,27375,27105,27335,1706928,46558092365,코스피 200
20190612,069500,27330,27430,27215,27240,2282361,62352627745,코스피 200
20190613,069500,27140,27265,26830,27015,6197037,167773396450,코스피 200
20190614,069500,27015,27160,26870,27010,5280405,142842444975,코스피 200
20190617,069500,26985,27160,26925,27025,2996678,81027306075,코스피 200
20190618,069500,27005,27200,26985,27160,4189376,113753948170,코스피 200
20190619,069500,27465,27565,27415,27500,4524868,124558218170,코스피 200
20190620,069500,27510,27610,27455,27595,5980640,165112134210,코스피 200
20190621,069500,27610,27630,27465,27520,4705660,129642525945,코스피 200
20190624,069500,27545,27680,27530,27565,4210396,116204598257,코스피 200
20190625,069500,27540,27705,27415,27525,6611774,182151401640,코스피 200
20190626,069500,27490,27625,27470,27555,9377268,258400200155,코스피 200
20190627,069500,27635,27940,27580,27890,8137972,226802605430,코스피 200
20190628,069500,27890,27935,27755,27820,5544259,154424758640,코스피 200
20190701,069500,28030,28100,27785,27825,5590699,155800435725,코스피 200
20190702,069500,27705,27830,27550,27670,6249746,173281587850,코스피 200
20190703,069500,27650,27740,27275,27315,4859002,133135500640,코스피 200
20190704,069500,27345,27550,27285,27545,5542178,152420742215,코스피 200
20190705,069500,27550,27605,27335,27505,4648960,128003181845,코스피 200
20190708,069500,27305,27305,26925,26930,5346522,144562885550,코스피 200
20190709,069500,27010,27105,26875,26875,5626199,151558975370,코스피 200
20190710,069500,26975,27110,26970,26975,4246072,114741635540,코스피 200
20190711,069500,27135,27390,27105,27305,4345357,118652719115,코스피 200
20190712,069500,27265,27405,27215,27365,2964836,81109341085,코스피 200
20190715,069500,27275,27415,27185,27350,1991779,54458145440,코스피 200
20190716,069500,27385,27535,27310,27470,4345962,119381027165,코스피 200
20190717,069500,27310,27340,27130,27225,4148677,113054896885,코스피 200
20190718,069500,27180,27260,27065,27165,4639673,126064147665,코스피 200
20190719,069500,27315,27610,27315,27545,4620970,127212431170,코스피 200
20190722,069500,27470,27620,27435,27535,4059703,111890478325,코스피 200
